timestamp,x,y,type,deltaY
1758903275995,400,400,move,0
1758903275996,401,401,move,0
1758903275997,402,402,move,0
1758903275998,403,403,move,0
1758903275999,404,404,move,0
1758903276000,405,405,move,0
1758903276001,406,406,move,0
1758903276002,407,407,move,0
1758903276003,408,408,move,0
1758903276004,409,409,move,0
1758903276005,410,410,move,0
1758903276006,411,411,move,0
1758903276007,412,412,move,0
1758903276008,413,413,move,0
1758903276009,414,414,move,0
1758903276010,415,415,move,0
1758903276011,416,416,move,0
1758903276012,417,417,move,0
1758903276013,418,418,move,0
1758903276014,419,419,move,0
1758903276015,420,420,move,0
1758903276016,421,421,move,0
1758903276017,422,422,move,0
1758903276018,423,423,move,0
1758903276019,424,424,move,0
1758903276020,425,425,move,0
1758903276021,426,426,move,0
1758903276022,427,427,move,0
1758903276023,428,428,move,0
1758903276024,429,429,move,0
1758903276025,430,430,move,0
1758903276026,431,431,move,0
1758903276027,432,432,move,0
1758903276028,433,433,move,0
1758903276029,434,434,move,0
1758903276030,435,435,move,0
1758903276031,436,436,move,0
1758903276032,437,437,move,0
1758903276033,438,438,move,0
1758903276034,439,439,move,0
1758903276035,440,440,move,0
1758903276036,441,441,move,0
1758903276037,442,442,move,0
1758903276038,443,443,move,0
1758903276039,444,444,move,0
1758903276040,445,445,move,0
1758903276041,446,446,move,0
1758903276042,447,447,move,0
1758903276043,448,448,move,0
1758903276044,449,449,move,0
1758903276045,450,450,move,0
1758903276046,451,451,move,0
1758903276047,452,452,move,0
1758903276048,453,453,move,0
1758903276049,454,454,move,0
1758903276050,455,455,move,0
1758903276051,456,456,move,0
1758903276052,457,457,move,0
1758903276053,458,458,move,0
1758903276054,459,459,move,0
1758903276055,460,460,move,0
1758903276056,461,461,move,0
1758903276057,462,462,move,0
1758903276058,463,463,move,0
1758903276059,464,464,move,0
1758903276060,465,465,move,0
1758903276061,466,466,move,0
1758903276062,467,467,move,0
1758903276063,468,468,move,0
1758903276064,469,469,move,0
1758903276065,470,470,move,0
1758903276066,471,471,move,0
1758903276067,472,472,move,0
1758903276068,473,473,move,0
1758903276069,474,474,move,0
1758903276070,475,475,move,0
1758903276071,476,476,move,0
1758903276072,477,477,move,0
1758903276073,478,478,move,0
1758903276074,479,479,move,0
1758903276075,480,480,move,0
1758903276076,481,481,move,0
1758903276077,482,482,move,0
1758903276078,483,483,move,0
1758903276079,484,484,move,0
1758903276080,485,485,move,0
1758903276081,486,486,move,0
1758903276082,487,487,move,0
1758903276083,488,488,move,0
1758903276084,489,489,move,0
1758903276085,490,490,move,0
1758903276086,491,491,move,0
1758903276087,492,492,move,0
1758903276088,493,493,move,0
1758903276089,494,494,move,0
1758903276090,495,495,move,0
1758903276091,496,496,move,0
1758903276092,497,497,move,0
1758903276093,498,498,move,0
1758903276094,499,499,move,0
1758903276095,500,500,move,0
1758903276096,501,501,move,0
1758903276097,502,502,move,0
1758903276098,503,503,move,0
1758903276099,504,504,move,0
1758903276100,505,505,move,0
1758903276101,506,506,move,0
1758903276102,507,507,move,0
1758903276103,508,508,move,0
1758903276104,509,509,move,0
1758903276105,510,510,move,0
1758903276106,511,511,move,0
1758903276107,512,512,move,0
1758903276108,513,513,move,0
1758903276109,514,514,move,0
1758903276110,515,515,move,0
1758903276111,516,516,move,0
1758903276112,517,517,move,0
1758903276113,518,518,move,0
1758903276114,519,519,move,0
1758903276115,520,520,move,0
1758903276116,521,521,move,0
1758903276117,522,522,move,0
1758903276118,523,523,move,0
1758903276119,524,524,move,0
1758903276120,525,525,move,0
1758903276121,526,526,move,0
1758903276122,527,527,move,0
1758903276123,528,528,move,0
1758903276124,529,529,move,0
1758903276125,530,530,move,0
1758903276126,531,531,move,0
1758903276127,532,532,move,0
1758903276128,533,533,move,0
1758903276129,534,534,move,0
1758903276130,535,535,move,0
1758903276131,536,536,move,0
1758903276132,537,537,move,0
1758903276133,538,538,move,0
1758903276134,539,539,move,0
1758903276135,540,540,move,0
1758903276136,541,541,move,0
1758903276137,542,542,move,0
1758903276138,543,543,move,0
1758903276139,544,544,move,0
1758903276140,545,545,move,0
1758903276141,546,546,move,0
1758903276142,547,547,move,0
1758903276143,548,548,move,0
1758903276144,549,549,move,0
1758903276145,550,550,move,0
1758903276146,551,551,move,0
1758903276147,552,552,move,0
1758903276148,553,553,move,0
1758903276149,554,554,move,0
1758903276150,555,555,move,0
1758903276151,556,556,move,0
1758903276152,557,557,move,0
1758903276153,558,558,move,0
1758903276154,559,559,move,0
1758903276155,560,560,move,0
1758903276156,561,561,move,0
1758903276157,562,562,move,0
1758903276158,563,563,move,0
1758903276159,564,564,move,0
1758903276160,565,565,move,0
1758903276161,566,566,move,0
1758903276162,567,567,move,0
1758903276163,568,568,move,0
1758903276164,569,569,move,0
1758903276165,570,570,move,0
1758903276166,571,571,move,0
1758903276167,572,572,move,0
1758903276168,573,573,move,0
1758903276169,574,574,move,0
1758903276170,575,575,move,0
1758903276171,576,576,move,0
1758903276172,577,577,move,0
1758903276173,578,578,move,0
1758903276174,579,579,move,0
1758903276175,580,580,move,0
1758903276176,581,581,move,0
1758903276177,582,582,move,0
1758903276178,583,583,move,0
1758903276179,584,584,move,0
1758903276180,585,585,move,0
1758903276181,586,586,move,0
1758903276182,587,587,move,0
1758903276183,588,588,move,0
1758903276184,589,589,move,0
1758903276185,590,590,move,0
1758903276186,591,591,move,0
1758903276187,592,592,move,0
1758903276188,593,593,move,0
1758903276189,594,594,move,0
1758903276190,595,595,move,0
1758903276191,596,596,move,0
1758903276192,597,597,move,0
1758903276193,598,598,move,0
1758903276194,599,599,move,0
1758903276195,600,600,move,0
1758903276196,601,601,move,0
1758903276197,602,602,move,0
1758903276198,603,603,move,0
1758903276199,604,604,move,0
1758903276200,605,605,move,0
1758903276201,606,606,move,0
1758903276202,607,607,move,0
1758903276203,608,608,move,0
1758903276204,609,609,move,0
1758903276205,610,610,move,0
1758903276206,611,611,move,0
1758903276207,612,612,move,0
1758903276208,613,613,move,0
1758903276209,614,614,move,0
1758903276210,615,615,move,0
1758903276211,616,616,move,0
1758903276212,617,617,move,0
1758903276213,618,618,move,0
1758903276214,619,619,move,0
1758903276215,620,620,move,0
1758903276216,621,621,move,0
1758903276217,622,622,move,0
1758903276218,623,623,move,0
1758903276219,624,624,move,0
1758903276220,625,625,move,0
1758903276221,626,626,move,0
1758903276222,627,627,move,0
1758903276223,628,628,move,0
1758903276224,629,629,move,0
1758903276225,630,630,move,0
1758903276226,631,631,move,0
1758903276227,632,632,move,0
1758903276228,633,633,move,0
1758903276229,634,634,move,0
1758903276230,635,635,move,0
1758903276231,636,636,move,0
1758903276232,637,637,move,0
1758903276233,638,638,move,0
1758903276234,639,639,move,0
1758903276235,640,640,move,0
1758903276236,641,641,move,0
1758903276237,642,642,move,0
1758903276238,643,643,move,0
1758903276239,644,644,move,0
1758903276240,645,645,move,0
1758903276241,646,646,move,0
1758903276242,647,647,move,0
1758903276243,648,648,move,0
1758903276244,649,649,move,0
1758903276245,650,650,move,0
1758903276246,651,651,move,0
1758903276247,652,652,move,0
1758903276248,653,653,move,0
1758903276249,654,654,move,0
1758903276250,655,655,move,0
1758903276251,656,656,move,0
1758903276252,657,657,move,0
1758903276253,658,658,move,0
1758903276254,659,659,move,0
1758903276255,660,660,move,0
1758903276256,661,661,move,0
1758903276257,662,662,move,0
1758903276258,663,663,move,0
1758903276259,664,664,move,0
1758903276260,665,665,move,0
1758903276261,666,666,move,0
1758903276262,667,667,move,0
1758903276263,668,668,move,0
1758903276264,669,669,move,0
1758903276265,670,670,move,0
1758903276266,671,671,move,0
1758903276267,672,672,move,0
1758903276268,673,673,move,0
1758903276269,674,674,move,0
1758903276270,675,675,move,0
1758903276271,676,676,move,0
1758903276272,677,677,move,0
1758903276273,678,678,move,0
1758903276274,679,679,move,0
1758903276275,680,680,move,0
1758903276276,681,681,move,0
1758903276277,682,682,move,0
1758903276278,683,683,move,0
1758903276279,684,684,move,0
1758903276280,685,685,move,0
1758903276281,686,686,move,0
1758903276282,687,687,move,0
1758903276283,688,688,move,0
1758903276284,689,689,move,0
1758903276285,690,690,move,0
1758903276286,691,691,move,0
1758903276287,692,692,move,0
1758903276288,693,693,move,0
1758903276289,694,694,move,0
1758903276290,695,695,move,0
1758903276291,696,696,move,0
1758903276292,697,697,move,0
1758903276293,698,698,move,0
1758903276294,699,699,move,0
